congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
95,house,n000113,robert,nelson cornelius,nix,sr.,1898-08-09,pa,d,yes,1/4/1977,78.4
95,house,p000398,william,robert,poage,,1899-12-28,tx,d,yes,1/4/1977,77
95,house,p000218,claude,denson,pepper,,9/8/1900,fl,d,yes,1/4/1977,76.3
95,house,m000065,george,herman,mahon,,9/22/1900,tx,d,yes,1/4/1977,76.3
95,house,d000211,james,joseph,delaney,,3/19/1901,ny,d,yes,1/4/1977,75.8
95,house,f000209,daniel,john,flood,,11/26/1903,pa,d,yes,1/4/1977,73.1
95,house,s000829,thomas,jefferson,steed,,3/2/1904,ok,d,yes,1/4/1977,72.8
95,house,p000522,charles,melvin,price,,1/1/1905,il,d,yes,1/4/1977,72
95,house,p000106,edward,james,patten,,8/22/1905,nj,d,yes,1/4/1977,71.4
95,house,b001111,omar,truman,burleson,,3/19/1906,tx,d,yes,1/4/1977,70.8
95,house,s000472,joe,,skubitz,,5/6/1906,ks,r,yes,1/4/1977,70.7
95,house,s000406,robert,lee fulton,sikes,,6/3/1906,fl,d,yes,1/4/1977,70.6
95,house,s000778,harley,orrin,staggers,,8/3/1907,wv,d,yes,1/4/1977,69.4
95,house,h000367,augustus,freeman,hawkins,,8/31/1907,ca,d,yes,1/4/1977,69.3
95,house,j000135,harold,terry,johnson,,12/2/1907,ca,d,yes,1/4/1977,69.1
95,house,m000340,robert,,mcclory,,1/31/1908,il,r,yes,1/4/1977,68.9
95,house,d000255,john,herman,dent,,3/10/1908,pa,d,yes,1/4/1977,68.8
95,house,l000413,clarence,dickinson,long,,12/11/1908,md,d,yes,1/4/1977,68.1
95,house,r000374,peter,wallace,rodino,jr.,6/7/1909,nj,d,yes,1/4/1977,67.6
95,house,y000013,sidney,richard,yates,,8/27/1909,il,d,yes,1/4/1977,67.4
95,house,n000009,william,huston,natcher,,9/11/1909,ky,d,yes,1/4/1977,67.3
95,house,m000845,robert,homer,mollohan,,9/18/1909,wv,d,yes,1/4/1977,67.3
95,house,f000078,millicent,hammond,fenwick,,2/25/1910,nj,r,yes,1/4/1977,66.9
95,house,b001092,james,anthony,burke,,3/30/1910,ma,d,yes,1/4/1977,66.8
95,house,t000110,olin,earl,teague,,4/6/1910,tx,d,yes,1/4/1977,66.7
95,house,w000428,jamie,lloyd,whitten,,4/18/1910,ms,d,yes,1/4/1977,66.7
95,house,m000675,ralph,harold,metcalfe,,5/29/1910,il,d,yes,1/4/1977,66.6
95,house,c000201,tim,lee,carter,,9/2/1910,ky,r,yes,1/4/1977,66.3
95,house,b000371,charles,edward,bennett,,12/2/1910,fl,d,yes,1/4/1977,66.1
95,house,s000454,bernice,frederic,sisk,,12/14/1910,ca,d,yes,1/4/1977,66.1
95,house,f000040,john,g.,fary,,4/11/1911,il,d,yes,1/4/1977,65.7
95,house,s000622,virginia,dodd,smith,,6/30/1911,ne,r,yes,1/4/1977,65.5
95,house,b000600,edward,patrick,boland,,10/1/1911,ma,d,yes,1/4/1977,65.3
95,house,a000118,clifford,robertson,allen,,1/6/1912,tn,d,yes,1/4/1977,65
95,house,r000165,henry,schoellkopf,reuss,,2/22/1912,wi,d,yes,1/4/1977,64.9
95,house,j000216,ed,,jones,,4/20/1912,tn,d,yes,1/4/1977,64.7
95,house,w000107,william,francis,walsh,,7/11/1912,ny,r,yes,1/4/1977,64.5
95,house,p000230,carl,dewey,perkins,,10/15/1912,ky,d,yes,1/4/1977,64.2
95,house,z000001,clement,john,zablocki,,11/18/1912,wi,d,yes,1/4/1977,64.1
95,house,o000098,thomas,phillip,o'neill,jr.,12/9/1912,ma,d,yes,1/4/1977,64.1
95,house,b001091,j.,herbert,burke,,1/14/1913,fl,r,yes,1/4/1977,64
95,house,a000189,glenn,malcolm,anderson,,2/21/1913,ca,d,yes,1/4/1977,63.9
95,house,r000312,herbert,ray,roberts,,3/28/1913,tx,d,yes,1/4/1977,63.8
95,house,v000047,charles,albert,vanik,,4/7/1913,oh,d,yes,1/4/1977,63.7
95,house,c000164,charles,joseph,carney,,4/17/1913,oh,d,yes,1/4/1977,63.7
95,house,f000319,lawrence,h.,fountain,,4/23/1913,nc,d,yes,1/4/1977,63.7
95,house,e000035,robert,christian,eckhardt,,7/16/1913,tx,d,yes,1/4/1977,63.5
95,house,j000256,walter,beaman,jones,sr.,8/19/1913,nc,d,yes,1/4/1977,63.4
95,house,l000226,william,,lehman,,10/5/1913,fl,d,yes,1/4/1977,63.2
95,house,p000328,james,jarrell,pickle,,10/11/1913,tx,d,yes,1/4/1977,63.2
95,house,b000788,john,bayne,breckinridge,,11/29/1913,ky,d,yes,1/4/1977,63.1
95,house,g000537,tennyson,,guyer,,11/29/1913,oh,r,yes,1/4/1977,63.1
95,house,c000476,delwin,morgan,clawson,,1/11/1914,ca,r,yes,1/4/1977,63
95,house,f000151,joseph,lyman,fisher,,1/11/1914,va,d,yes,1/4/1977,63
95,house,u000004,albert,conrad,ullman,,3/9/1914,or,d,yes,1/4/1977,62.8
95,house,b000472,jonathan,brewster,bingham,,4/24/1914,ny,d,yes,1/4/1977,62.7
95,house,d000038,wilbur,clarence,daniel,,5/12/1914,va,d,yes,1/4/1977,62.7
95,house,v000024,lionel,,van deerlin,,7/25/1914,ca,d,yes,1/4/1977,62.4
95,house,f000229,john,james,flynt,jr.,11/8/1914,ga,d,yes,1/4/1977,62.2
95,house,e000064,william,donlon,edwards,,1/6/1915,ca,d,yes,1/4/1977,62
95,house,a000212,frank,,annunzio,,1/12/1915,il,d,yes,1/4/1977,62
95,house,d000043,george,elmore,danielson,,2/20/1915,ca,d,yes,1/4/1977,61.9
95,house,s000473,john,mark,slack,jr.,3/18/1915,wv,d,yes,1/4/1977,61.8
95,house,m001035,john,emerson,moss,,4/13/1915,ca,d,yes,1/4/1977,61.7
95,house,d000279,samuel,leeper,devine,,12/21/1915,oh,r,yes,1/4/1977,61
95,house,q000013,james,henry,quillen,,1/11/1916,tn,r,yes,1/4/1977,61
95,house,f000286,edwin,bell,forsythe,,1/17/1916,nj,r,yes,1/4/1977,61
95,house,r000485,edward,ross,roybal,,2/10/1916,ca,d,yes,1/4/1977,60.9
95,house,b000592,corinne,claiborne,boggs,,3/13/1916,la,d,yes,1/4/1977,60.8
95,house,r000421,teno,,roncalio,,3/23/1916,wy,d,yes,1/4/1977,60.8
