REQUESTID,DATETIMEINIT,SOURCE,DESCRIPTION,REQCATEGORY,STATUS,COUNCILDISTRICT,BEAT,PROBADDRESS,City,State,lat,long
988237,2/19/2020 12:02,Email,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,05X,2400 EMBARCADERO,Oakland,CA,37.81179504,-122.2887168
986422,2/12/2020 13:10,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD4,25X,QUIGLEY ST & 35TH AVE,Oakland,CA,37.79271504,-122.2024468
988269,2/19/2020 14:01,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,29X,61ST AV & FOOTHILL BLVD,Oakland,CA,37.77122197,-122.1879071
988192,2/19/2020 9:41,Phone,Homeless Encampment,HE_CLEAN,OPEN,CCD3,05X,1004 21ST ST,Oakland,CA,37.81387009,-122.2812232
987728,2/18/2020 9:30,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,33X,9600 E ST,Oakland,CA,37.74317183,-122.17771
984382,2/5/2020 17:18,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,14X,LAKESIDE PARK,Oakland,CA,37.81015217,-122.2604655
987501,2/17/2020 12:58,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,33X,1340 83RD AV,Oakland,CA,37.75429083,-122.1792791
987105,2/14/2020 14:36,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32Y,FOOTHILL BLVD & 106TH AVE,Oakland,CA,37.74464504,-122.1495068
989709,2/24/2020 11:34,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,MOSSWOOD PARK,Oakland,CA,37.8238632,-122.2619149
983655,2/3/2020 14:55,SeeClickFix,Homeless Encampment,HE_CLEAN,CLOSED,CCD7,31Y,9422 EDES AVE,Oakland,CA,37.73747027,-122.1869764
984677,2/6/2020 13:58,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,26X,6233 SAN LEANDRO ST,Oakland,CA,37.75889562,-122.2033375
988089,2/18/2020 20:20,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,06X,2415 MARTIN LUTHER KING JR WAY,Oakland,CA,37.814634,-122.272488
988343,2/20/2020 10:05,Email,Homeless Encampment,HE_CLEAN,CANCEL,CCD5,23X,900 35TH AV,Oakland,CA,37.7734943,-122.2247605
985985,2/11/2020 9:40,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD2,15X,2040 LAKESHORE AVE,Oakland,CA,37.80416248,-122.2516602
983430,2/3/2020 9:26,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,500 85TH AVE,Oakland,CA,37.74038,-122.1921467
989780,2/24/2020 13:47,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,BROADWAY & 27TH ST,Oakland,CA,37.81548691,-122.2642441
988644,2/20/2020 20:07,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,19X,LAKE MERRITT BLVD & E 12TH ST,Oakland,CA,37.79779759,-122.2583967
986387,2/12/2020 10:54,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD1,10X,6621�6631 HELEN CT,Oakland,CA,37.84915542,-122.2846919
987937,2/18/2020 14:40,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,03X,250-298 5TH ST,Oakland,CA,37.79661038,-122.2708905
990957,2/27/2020 14:08,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,15X,300 E 18TH ST,Oakland,CA,37.7998236,-122.2516352
