Mentored,MT1 %,MT2 %,difference
FALSE,70,40,-30
FALSE,71.25,70,-1.25
FALSE,58.75,27,-31.75
TRUE,61.25,45,-16.25
TRUE,71.25,71,-0.25
TRUE,56.25,56,-0.25
FALSE,60,45,-15
TRUE,72.5,72,-0.5
FALSE,48.75,40,-8.75
TRUE,48.75,40,-8.75
FALSE,72.5,59,-13.5
TRUE,58.75,32,-26.75
FALSE,83.75,81,-2.75
TRUE,57.5,63,5.5
TRUE,62.5,70,7.5
FALSE,87.5,92,4.5
TRUE,57.5,60,2.5
FALSE,67.5,63,-4.5
FALSE,77.5,87,9.5
FALSE,50,28,-22
TRUE,65,69,4
FALSE,86.25,98,11.75
FALSE,91.25,99,7.75
TRUE,38.75,23,-15.75
FALSE,52.5,34,-18.5
FALSE,55,41,-14
TRUE,62.5,54,-8.5
TRUE,75,66,-9
FALSE,95,92,-3
TRUE,73.75,85,11.25
TRUE,70,54.5,-15.5
TRUE,46.25,31,-15.25
FALSE,73.75,82,8.25
FALSE,82.5,69,-13.5
TRUE,70,42,-28
FALSE,42.5,46,3.5
FALSE,81.25,85,3.75
FALSE,70,44,-26
FALSE,73.75,96,22.25
FALSE,72.5,63,-9.5
TRUE,75,29,-46
FALSE,91.25,85,-6.25
TRUE,80,75,-5
FALSE,56.25,62,5.75
FALSE,75,67,-8
FALSE,80,87,7
FALSE,70,76,6
TRUE,68.75,66,-2.75
FALSE,70,70,0
FALSE,58.75,65,6.25
FALSE,70,71,1
FALSE,62.5,48,-14.5
TRUE,67.5,85,17.5
FALSE,58.75,50,-8.75
FALSE,86.25,75,-11.25
FALSE,76.25,50,-26.25
FALSE,71.25,49,-22.25
FALSE,82.5,72,-10.5
TRUE,68.75,62,-6.75
FALSE,80,94,14
TRUE,23.75,17,-6.75
TRUE,80,63,-17
TRUE,73.75,66,-7.75
TRUE,75,77,2
FALSE,46.25,12,-34.25
FALSE,86.25,94,7.75
FALSE,77.5,82,4.5
FALSE,68.75,71,2.25
TRUE,78.75,90,11.25
FALSE,87.5,60,-27.5
FALSE,90,44,-46
FALSE,58.75,43.5,-15.25
FALSE,70,58,-12
FALSE,66.25,48,-18.25
TRUE,63.75,53,-10.75
TRUE,55,37,-18
FALSE,88.75,75,-13.75
FALSE,75,64,-11
FALSE,73.75,55,-18.75
TRUE,61.25,51,-10.25
TRUE,61.25,49,-12.25
FALSE,70,66,-4
FALSE,97.5,74,-23.5
FALSE,66.25,44,-22.25
FALSE,85,93,8
TRUE,85,91,6
FALSE,93.75,76,-17.75
FALSE,35,21,-14
TRUE,82.5,76,-6.5
TRUE,81.25,55,-26.25
TRUE,60,63,3
TRUE,43.75,19,-24.75
FALSE,87.5,85,-2.5
TRUE,65,70,5
FALSE,90,69,-21
TRUE,90,86,-4
FALSE,77.5,79,1.5
FALSE,98.75,95,-3.75
FALSE,91.25,90,-1.25
FALSE,75,60,-15
FALSE,78.75,92,13.25
FALSE,35,28,-7
FALSE,86.25,97,10.75
FALSE,78.75,89,10.25
TRUE,77.5,91,13.5
FALSE,45,28,-17
FALSE,77.5,66,-11.5
TRUE,67.5,70,2.5
FALSE,76.25,73,-3.25
FALSE,77.5,74,-3.5
TRUE,78.75,87,8.25
FALSE,73.75,79,5.25
TRUE,85,78,-7
FALSE,68.75,60,-8.75
FALSE,72.5,74,1.5
FALSE,32.5,18,-14.5
FALSE,37.5,26,-11.5
FALSE,58.75,37,-21.75
FALSE,90,72,-18
FALSE,83.75,74,-9.75
FALSE,30,18,-12
TRUE,37.5,33,-4.5
FALSE,48.75,43,-5.75
TRUE,72.5,66,-6.5
FALSE,42.5,11,-31.5
FALSE,85,84,-1
FALSE,88.75,73,-15.75
FALSE,73.75,55,-18.75
TRUE,32.5,45,12.5
TRUE,61.25,56,-5.25
TRUE,57.5,49,-8.5
TRUE,77.5,70,-7.5
FALSE,83.75,66,-17.75
FALSE,93.75,85,-8.75
TRUE,48.75,49,0.25
FALSE,66.25,47,-19.25
FALSE,95,90,-5
FALSE,76.25,73,-3.25
TRUE,58.75,35,-23.75
TRUE,58.75,53,-5.75
TRUE,67.5,47,-20.5
TRUE,77.5,60,-17.5
TRUE,70,60,-10
FALSE,56.25,46,-10.25
TRUE,33.75,19,-14.75
FALSE,71.25,63,-8.25
FALSE,86.25,92,5.75
TRUE,65,74,9
TRUE,47.5,51,3.5
FALSE,77.5,88,10.5
TRUE,61.25,42,-19.25
FALSE,66.25,48,-18.25
FALSE,25,11,-14
FALSE,61.25,56,-5.25
FALSE,90,85,-5
FALSE,83.75,78,-5.75
FALSE,58.75,38,-20.75
FALSE,62.5,42,-20.5
FALSE,68.75,80,11.25
FALSE,76.25,87,10.75
FALSE,76.25,68,-8.25
FALSE,70,43,-27
TRUE,75,44,-31
TRUE,32.5,19,-13.5
TRUE,73.75,70,-3.75
FALSE,78.75,81,2.25
FALSE,78.75,95,16.25
FALSE,41.25,12,-29.25
FALSE,100,87,-13
FALSE,65,69,4
FALSE,80,88,8
FALSE,81.25,69,-12.25
FALSE,66.25,61,-5.25
FALSE,82.5,60,-22.5
FALSE,78.75,73,-5.75
FALSE,75,82,7
FALSE,61.25,37,-24.25
TRUE,56.25,68,11.75
FALSE,86.25,91,4.75
FALSE,73.75,72,-1.75
TRUE,85,73,-12
TRUE,63.75,43,-20.75
FALSE,93.75,87,-6.75
FALSE,58.75,71,12.25
FALSE,70,60,-10
FALSE,76.25,75,-1.25
TRUE,61.25,60,-1.25
FALSE,38.75,24,-14.75
FALSE,93.75,94,0.25
FALSE,38.75,25,-13.75
FALSE,52.5,32,-20.5
FALSE,87.5,74,-13.5
FALSE,78.75,64,-14.75
TRUE,60,72,12
TRUE,77.5,61,-16.5
FALSE,62.5,47,-15.5
FALSE,42.5,51,8.5
TRUE,71.25,60,-11.25
TRUE,68.75,81,12.25
TRUE,83.75,80,-3.75
TRUE,83.75,71,-12.75
TRUE,38.75,24,-14.75
FALSE,80,81,1
FALSE,61.25,47,-14.25
FALSE,68.75,52,-16.75
TRUE,30,47,17
FALSE,85,95,10
FALSE,97.5,84,-13.5
FALSE,46.25,33,-13.25
FALSE,63.75,66,2.25
FALSE,97.5,92,-5.5
TRUE,70,63.5,-6.5
TRUE,56.25,71,14.75
FALSE,96.25,95,-1.25
FALSE,73.75,50,-23.75
FALSE,51.25,57,5.75
TRUE,65,52,-13
FALSE,86.25,84,-2.25
TRUE,56.25,52,-4.25
FALSE,96.25,84,-12.25
FALSE,73.75,77,3.25
FALSE,65,45,-20
TRUE,75,75,0
FALSE,76.25,68,-8.25
FALSE,93.75,71,-22.75
FALSE,100,96,-4
FALSE,100,97,-3
FALSE,78.75,85,6.25
FALSE,85,77,-8
FALSE,98.75,72,-26.75
FALSE,32.5,25,-7.5
TRUE,91.25,88,-3.25
FALSE,88.75,85,-3.75
FALSE,61.25,26,-35.25
FALSE,92.5,82,-10.5
FALSE,60,40,-20
FALSE,75,84,9
FALSE,81.25,85,3.75
FALSE,37.5,26,-11.5
FALSE,63.75,72,8.25
TRUE,56.25,52,-4.25
FALSE,68.75,70,1.25
FALSE,45,69,24
FALSE,75,30,-45
FALSE,62.5,51,-11.5
FALSE,53.75,20,-33.75
FALSE,96.25,94,-2.25
TRUE,58.75,56,-2.75
FALSE,65,43,-22
FALSE,95,97,2
FALSE,71.25,84,12.75
FALSE,76.25,44,-32.25
TRUE,17.5,4,-13.5
TRUE,62.5,51,-11.5
FALSE,48.75,28,-20.75
TRUE,72.5,68,-4.5
FALSE,93.75,62,-31.75
TRUE,62.5,42,-20.5
FALSE,86.25,77,-9.25
TRUE,52.5,66,13.5
FALSE,60,66,6
FALSE,65,54,-11
FALSE,72.5,94,21.5
FALSE,62.5,59,-3.5
FALSE,51.25,53,1.75
FALSE,77.5,37,-40.5
FALSE,95,83,-12
FALSE,56.25,10,-46.25
FALSE,60,34,-26
FALSE,67.5,53,-14.5
FALSE,77.5,46,-31.5
FALSE,70,42,-28
TRUE,81.25,74,-7.25
FALSE,55,48,-7
FALSE,97.5,83,-14.5
FALSE,85,81,-4
TRUE,70,42,-28
FALSE,65,84,19
FALSE,92.5,86,-6.5
TRUE,85,95,10
TRUE,77.5,71,-6.5
TRUE,52.5,42,-10.5
FALSE,83.75,100,16.25
FALSE,67.5,55,-12.5
TRUE,60,74,14
FALSE,71.25,65,-6.25
TRUE,70,40.5,-29.5
FALSE,80,75,-5
TRUE,63.75,58,-5.75
TRUE,65,42,-23
FALSE,67.5,36,-31.5
FALSE,36.25,3,-33.25
FALSE,57.5,73,15.5
TRUE,51.25,53,1.75
TRUE,81.25,35,-46.25
TRUE,83.75,56,-27.75
FALSE,95,91,-4
FALSE,81.25,66,-15.25
TRUE,52.5,27,-25.5
TRUE,53.75,62,8.25
FALSE,68.75,45,-23.75
FALSE,87.5,78,-9.5
FALSE,81.25,62,-19.25
FALSE,87.5,80,-7.5
TRUE,63.75,42,-21.75
TRUE,43.75,42,-1.75
FALSE,98.75,93,-5.75
TRUE,73.75,84,10.25
FALSE,83.75,90,6.25
TRUE,71.25,46,-25.25
TRUE,93.75,86,-7.75
TRUE,70,57,-13
FALSE,41.25,15,-26.25
TRUE,52.5,45,-7.5
TRUE,68.75,84,15.25
FALSE,88.75,79,-9.75
FALSE,96.25,88,-8.25
FALSE,75,85,10
FALSE,83.75,60,-23.75
FALSE,68.75,35,-33.75
FALSE,55,28,-27
FALSE,91.25,78,-13.25
TRUE,67.5,82,14.5
TRUE,52.5,64,11.5
FALSE,65,79,14
FALSE,86.25,89,2.75
FALSE,77.5,44,-33.5
FALSE,58.75,48,-10.75
FALSE,72.5,62,-10.5
FALSE,56.25,27,-29.25
FALSE,83.75,68,-15.75
TRUE,46.25,43,-3.25
FALSE,72.5,52,-20.5
TRUE,83.75,60,-23.75
FALSE,60,39,-21
TRUE,71.25,54.5,-16.75
FALSE,93.75,73,-20.75
FALSE,95,98,3
TRUE,53.75,35,-18.75
FALSE,100,98,-2
TRUE,83.75,82,-1.75
FALSE,86.25,66,-20.25
TRUE,70,66,-4
FALSE,72.5,43,-29.5
FALSE,80,59,-21
TRUE,32.5,25,-7.5
TRUE,70,50,-20
FALSE,73.75,71,-2.75
FALSE,52.5,61,8.5
FALSE,63.75,73,9.25
FALSE,80,49,-31
TRUE,62.5,46,-16.5
FALSE,51.25,24,-27.25
FALSE,82.5,79,-3.5
FALSE,95,87,-8
FALSE,75,73,-2
TRUE,75,73,-2
FALSE,60,64,4
FALSE,87.5,84,-3.5
FALSE,97.5,96,-1.5
FALSE,61.25,64,2.75
TRUE,92.5,81,-11.5
FALSE,60,58,-2
FALSE,78.75,68,-10.75
TRUE,55,39,-16
FALSE,91.25,83,-8.25
FALSE,65,54,-11
FALSE,66.25,75,8.75
FALSE,61.25,52,-9.25
FALSE,76.25,70,-6.25
TRUE,68.75,71,2.25
FALSE,71.25,67,-4.25
FALSE,58.75,46,-12.75
TRUE,66.25,57,-9.25
TRUE,37.5,15,-22.5
FALSE,82.5,57,-25.5
TRUE,62.5,47,-15.5
FALSE,93.75,99,5.25
TRUE,60,55,-5
TRUE,42.5,10,-32.5
FALSE,65,37,-28
FALSE,92.5,80,-12.5
FALSE,91.25,53,-38.25
TRUE,68.75,77,8.25
FALSE,81.25,90,8.75
TRUE,65,81,16
FALSE,63.75,60,-3.75
FALSE,53.75,50,-3.75
TRUE,95,87,-8
TRUE,81.25,96,14.75
FALSE,62.5,49,-13.5
FALSE,58.75,35,-23.75
TRUE,72.5,62,-10.5
FALSE,76.25,67,-9.25
FALSE,66.25,65,-1.25
FALSE,56.25,74,17.75
FALSE,70,60,-10
FALSE,80,96,16
TRUE,70,78,8
FALSE,73.75,69,-4.75
TRUE,91.25,86,-5.25
FALSE,70,59,-11
FALSE,66.25,77,10.75
TRUE,71.25,48,-23.25
FALSE,93.75,83,-10.75
TRUE,66.25,43,-23.25
TRUE,75,63,-12
FALSE,86.25,84,-2.25
FALSE,67.5,56,-11.5
FALSE,62.5,36,-26.5
TRUE,66.25,43,-23.25
TRUE,81.25,87,5.75
FALSE,56.25,33,-23.25
TRUE,68.75,60,-8.75
TRUE,76.25,78,1.75
FALSE,72.5,35,-37.5
FALSE,62.5,57,-5.5
TRUE,75,86,11
FALSE,73.75,68,-5.75
TRUE,23.75,25,1.25
FALSE,48.75,36,-12.75
FALSE,47.5,30,-17.5
FALSE,73.75,95,21.25
FALSE,83.75,67,-16.75
FALSE,55,80,25
TRUE,67.5,76,8.5
FALSE,70,87,17
FALSE,78.75,83,4.25
FALSE,76.25,84,7.75
TRUE,71.25,42,-29.25
