bbl,project_name,buildings,res_units,owner_name,year_built,standard_address,agency_name,program_name,start_date,end_date,Neighborhood,assessed_value,Neighborhood population,Neighborhood income,Neighborhood racial diversity,Serious Hazard Violation 2017,Tax delinquency 2016
1020090033,100-06 WEST 141ST ST,1,53,100-106 W 141 ST HDF,1920,100 West 141 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2008,,Central Harlem,"$1,461,150","143,487","$46,537",37.44%,,
1016250005,103 EAST 97 STREET,1,10,103 EAST 97TH STREET,1910,103 East 97 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,East Harlem,"$583,783","134,279","$35,097",59.31%,,
1013470052,1034 SECOND AVE,1,8,CITY WIDE SUPPORTIVE,2003,307 East 54 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2004,,Stuyvesant Town/Turtle Bay,"$1,013,746","141,162","$112,562",40.09%,,
1018230040,108 WEST 114 STREET,1,15,108 WEST 114 STREET H,1900,108 West 114 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2008,,Central Harlem,"$464,400","143,487","$46,537",37.44%,,
1000787510,110 FULTON STREET,1,29,110 FULTON ST CONDOMI,1929,110 Fulton Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2007,,Greenwich Village/Financial District,"$2,406,600","152,813","$139,896",43.25%,1,
1018200041,111-113 DEVELOPMENT ASSOC,1,24,FITZCHARLES PROPERTIE,1915,108 West 111 Street,NYS Division of Housing and Community Renewal,LIHTC 9%,1996,2026,Central Harlem,"$908,100","143,487","$46,537",37.44%,1,
1018290015,111-113 DEVELOPMENT ASSOC,1,25,FITZCHARLES PROPERTIE,1920,247 West 113 Street,NYS Division of Housing and Community Renewal,LIHTC 9%,1996,2026,Central Harlem,"$693,000","143,487","$46,537",37.44%,,
1016210041,116TH STREET ASSOC LLC,1,22,116 ST. ASSOCS. LLC.,1920,74 East 116 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2001,2031,East Harlem,"$891,450","134,279","$35,097",59.31%,,
1017010001,1199 Plaza,4,1594,1199 HOUSING CORP,1974,2070 1 Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,East Harlem,"$69,700,000","134,279","$35,097",59.31%,1,
1012130042,122 WEST 83 STREET,1,72,ST. MATTHEWS & ST ETA,1905,126 West 83 Street,NYC Department of Housing Preservation and Development,Participation Loan Program,2007,,Upper West Side,"$1,383,300","189,492","$113,448",49.24%,1,
