State,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape,Revised rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
Alabama,1960,3266740,6097,406,281,,898,4512,33823,11626,19344,2853
Alabama,1961,3302000,5564,427,252,,630,4255,32541,11205,18801,2535
Alabama,1962,3358000,5283,316,218,,754,3995,35829,11722,21306,2801
Alabama,1963,3347000,6115,340,192,,828,4755,38521,12614,22874,3033
Alabama,1964,3407000,7260,316,397,,992,5555,46290,15898,26713,3679
Alabama,1965,3462000,6916,395,367,,992,5162,48215,16398,28115,3702
Alabama,1966,3517000,8098,384,341,,1124,6249,53740,18551,30583,4606
Alabama,1967,3540000,8448,415,371,,1167,6495,57079,20227,31682,5170
Alabama,1968,3566000,8288,421,396,,1462,6009,62997,22403,34508,6086
Alabama,1969,3531000,8842,485,494,,1448,6415,66248,23559,36644,6045
Alabama,1970,3444165,10185,404,637,,1731,7413,75214,26739,40779,7696
Alabama,1971,3479000,10835,524,661,,2005,7645,76084,27547,40841,7696
Alabama,1972,3510000,10994,496,660,,2407,7431,73053,27714,38493,6846
Alabama,1973,3539000,12390,468,751,,2809,8362,78999,31754,39206,8039
Alabama,1974,3577000,13338,536,811,,3562,8429,93976,37841,46813,9322
Alabama,1975,3614000,14201,577,738,,4446,8440,111296,42059,59470,9767
Alabama,1976,3665000,14248,553,794,,3520,9381,125325,42879,72832,9614
Alabama,1977,3690000,15293,524,929,,3572,10268,121702,41901,69442,10359
Alabama,1978,3742000,15682,499,954,,3708,10521,131707,46001,74387,11319
Alabama,1979,3769000,15578,496,1037,,4127,9918,144372,48517,83791,12064
Alabama,1980,3861466,17320,509,1158,,5102,10551,173191,58952,102029,12210
Alabama,1981,3916000,18423,465,1021,,4952,11985,173411,56811,105471,11129
Alabama,1982,3943000,17653,417,1026,,4417,11793,165048,49531,104740,10777
Alabama,1983,3959000,16471,364,931,,3895,11281,145890,42485,94279,9126
Alabama,1984,3990000,17204,374,1002,,3833,11995,138487,39970,89198,9319
Alabama,1985,4021000,18398,396,1079,,4237,12686,140115,41612,88108,10395
Alabama,1986,4053000,22616,409,1150,,4523,16534,151191,46974,93396,10821
Alabama,1987,4083000,22833,380,1137,,4581,16735,158918,48927,99260,10731
Alabama,1988,4127000,23052,408,1228,,4860,16556,165209,50920,103282,11007
Alabama,1989,4118000,24329,421,1276,,5515,17117,166244,47224,106771,12249
Alabama,1990,4040587,28630,467,1319,,5805,21039,169974,44585,111336,14053
Alabama,1991,4089000,34518,469,1455,,6246,26348,184882,51873,118151,14858
Alabama,1992,4136000,36052,455,1704,,6819,27074,181837,49053,117801,14983
Alabama,1993,4187000,32676,484,1471,,6677,24044,171598,45578,111878,14142
Alabama,1994,4219000,28844,501,1487,,7223,19633,178015,44064,119951,14000
Alabama,1995,4253000,26894,475,1350,,7900,17169,179294,43586,120967,14741
Alabama,1996,4273000,24159,444,1397,,7124,15194,181803,42821,123350,15632
Alabama,1997,4319000,24379,426,1396,,6931,15626,186809,43786,127616,15407
Alabama,1998,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871
Alabama,1999,4369862,21421,345,1513,,5297,14266,171398,38648,119616,13134
Alabama,2000,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809
Alabama,2001,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619
Alabama,2002,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890
Alabama,2003,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957
Alabama,2004,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024
Alabama,2005,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140
Alabama,2006,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018
Alabama,2007,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238
Alabama,2008,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466
Alabama,2009,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091
Alabama,2010,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780
Alabama,2011,4803689,20166,299,1370,,4906,13591,173192,51119,111411,10662
Alabama,2012,4817528,21693,342,1296,,5020,15035,168878,47481,111523,9874
Alabama,2013,4833996,20834,346,1449,2055.0,4645,13788,161835,42410,108862,10563
Alabama,2014,4849377,20727,276,1436,2005.0,4701,13745,154094,39715,104238,10141
Alaska,1960,226167,236,23,47,,64,102,3494,751,2195,548
Alaska,1961,234000,208,27,31,,29,121,3605,891,2223,491
Alaska,1962,246000,225,11,46,,34,134,3849,865,2424,560
Alaska,1963,248000,272,16,37,,55,164,4843,946,3010,887
Alaska,1964,250000,375,26,56,,53,240,5040,1109,3046,885
Alaska,1965,253000,377,16,45,,101,215,6210,1403,3777,1030
Alaska,1966,272000,409,35,53,,98,223,7168,1613,4354,1201
Alaska,1967,272000,437,26,48,,96,267,7409,1873,4436,1100
Alaska,1968,277000,486,29,60,,146,251,8713,2070,5307,1336
Alaska,1969,282000,624,30,83,,190,321,10318,2455,6195,1668
Alaska,1970,302173,840,37,79,,217,507,10648,2387,6595,1666
Alaska,1971,313000,1112,42,136,,210,724,11923,2656,7631,1636
Alaska,1972,325000,1204,31,136,,216,821,13351,3155,8577,1619
Alaska,1973,330000,1269,33,147,,221,868,15044,3852,9456,1736
Alaska,1974,337000,1527,46,166,,298,1017,16131,3932,10016,2183
Alaska,1975,352000,1900,43,157,,456,1244,19912,4275,12399,3238
Alaska,1976,382000,2063,43,179,,477,1364,21700,4653,13969,3078
Alaska,1977,407000,1804,44,210,,394,1156,22201,5420,13715,3066
Alaska,1978,403000,1781,52,224,,368,1137,22585,5397,14522,2666
Alaska,1979,406000,1994,54,292,,445,1203,23193,5616,15076,2501
Alaska,1980,440142,1919,39,250,,360,1270,22930,5545,14916,2469
Alaska,1981,412000,2537,60,421,,472,1584,24634,5479,16310,2845
Alaska,1982,438000,2732,81,374,,586,1691,24479,5204,16672,2603
Alaska,1983,479000,2940,66,486,,465,1923,25889,5720,17085,3084
Alaska,1984,500000,3108,58,458,,547,2045,27468,6184,18140,3144
Alaska,1985,521000,3031,51,402,,484,2094,27588,6209,18220,3159
Alaska,1986,534000,3046,46,388,,470,2142,30307,6204,20879,3224
Alaska,1987,525000,2391,53,341,,384,1613,25841,5093,18195,2553
Alaska,1988,513000,2682,29,296,,374,1983,22566,4321,15911,2334
Alaska,1989,527000,2623,42,279,,356,1946,22567,4358,15811,2398
Alaska,1990,550043,2885,41,401,,422,2021,25457,4919,17428,3110
Alaska,1991,570000,3499,42,523,,645,2289,29000,5582,20375,3043
Alaska,1992,587000,3877,44,579,,640,2614,28816,5170,20728,2918
Alaska,1993,599000,4557,54,502,,733,3268,28795,4893,21201,2701
Alaska,1994,606000,4644,38,418,,886,3302,29947,4848,21824,3275
Alaska,1995,604000,4656,55,485,,937,3179,30097,5055,21891,3151
Alaska,1996,607000,4417,45,398,,710,3264,28667,5118,20557,2992
Alaska,1997,609000,4270,54,403,,648,3165,27840,4276,20780,2784
Alaska,1998,614000,4015,41,421,,532,3021,25316,4098,18611,2607
Alaska,1999,619500,3908,52,517,,566,2773,23099,3787,16654,2658
Alaska,2000,626932,3554,27,497,,490,2540,23087,3899,16838,2350
Alaska,2001,633630,3735,39,501,,514,2681,23160,3847,16695,2618
Alaska,2002,641482,3627,33,511,,489,2594,24118,3908,17739,2471
Alaska,2003,648280,3877,39,605,,446,2787,24386,3874,18051,2461
Alaska,2004,657755,4159,37,558,,447,3117,22172,3773,16159,2240
Alaska,2005,663253,4194,32,538,,537,3087,23975,4131,17249,2595
Alaska,2006,670053,4610,36,512,,600,3462,23975,4155,17284,2536
Alaska,2007,683478,4520,43,545,,581,3351,23096,3734,16929,2433
Alaska,2008,686293,4475,27,447,,645,3356,20090,3237,15225,1628
Alaska,2009,698473,4424,22,513,,654,3235,20538,3600,15251,1687
Alaska,2010,714146,4537,31,533,,594,3379,20259,3105,15535,1619
Alaska,2011,723860,4416,30,436,,576,3374,19094,2852,14854,1388
Alaska,2012,730307,4412,30,583,,630,3169,20037,2950,15565,1522
Alaska,2013,737259,4709,34,657,925.0,623,3127,21211,2917,16599,1695
Alaska,2014,736732,4684,41,555,771.0,629,3243,20334,3150,15445,1739
Arizona,1960,1302161,2704,78,209,,706,1711,36539,8926,23207,4406
Arizona,1961,1391000,2288,84,200,,786,1218,41304,10262,26099,4943
Arizona,1962,1509000,2610,86,198,,851,1475,45694,11693,28605,5396
Arizona,1963,1559000,3027,93,222,,897,1815,49894,12944,31213,5737
Arizona,1964,1581000,3368,83,259,,967,2059,54264,13726,35190,5348
Arizona,1965,1608000,3092,80,286,,895,1831,53957,13129,36208,4620
Arizona,1966,1618000,3272,98,296,,898,1980,63645,15066,42555,6024
Arizona,1967,1634000,3892,91,273,,1224,2304,75160,18583,49923,6654
Arizona,1968,1670000,4402,105,313,,1448,2536,77001,19496,50471,7034
Arizona,1969,1693000,5742,102,390,,1692,3558,82710,22053,53231,7426
Arizona,1970,1772482,6564,168,478,,2130,3788,98265,26464,62918,8883
Arizona,1971,1849000,7407,124,553,,2095,4635,102451,26549,67566,8336
Arizona,1972,1945000,8731,142,650,,2350,5589,106671,31429,66883,8359
Arizona,1973,2058000,9877,167,637,,3031,6042,128089,40301,76560,11228
Arizona,1974,2153000,12202,206,807,,4396,6793,164811,54557,97286,12968
Arizona,1975,2224000,12184,191,789,,3780,7424,173331,56265,105588,11478
Arizona,1976,2270000,10335,177,674,,2949,6535,168686,53722,105389,9575
Arizona,1977,2296000,11347,217,786,,3173,7171,166528,53866,102571,10091
Arizona,1978,2354000,12996,221,1040,,3835,7900,165998,49023,106042,10933
Arizona,1979,2450000,14528,219,1120,,4305,8884,177977,48916,116976,12085
Arizona,1980,2715357,17673,279,1227,,5258,10909,204193,58527,132814,12852
Arizona,1981,2793000,16082,227,1064,,4961,9830,196575,57655,127469,11451
Arizona,1982,2860000,14785,236,1100,,4537,8912,189161,53861,124723,10577
Arizona,1983,2963000,14642,213,1241,,3923,9265,174740,49440,114721,10579
Arizona,1984,3053000,15756,238,1316,,4003,10199,182670,52327,118604,11739
Arizona,1985,3187000,19202,254,1458,,4670,12820,207591,59585,135720,12286
Arizona,1986,3317000,21835,307,1425,,5614,14489,221015,63278,143845,13892
Arizona,1987,3386000,20742,253,1396,,4687,14406,222663,55059,153296,14308
Arizona,1988,3466000,21147,294,1345,,4750,14758,237808,54773,167121,15914
Arizona,1989,3556000,21320,237,1286,,4944,14853,265284,59284,181574,24426
Arizona,1990,3665228,23911,284,1500,,5897,16230,265229,61206,172375,31648
Arizona,1991,3750000,25152,291,1590,,6215,17056,252559,60281,159987,32291
Arizona,1992,3832000,25706,312,1647,,5867,17880,243629,54095,158053,31481
Arizona,1993,3936000,28142,339,1488,,6412,19903,264371,57684,172689,33998
Arizona,1994,4075000,28653,426,1465,,6601,20161,294273,60157,190649,43467
Arizona,1995,4218000,30095,439,1418,,7329,20909,316355,59762,207763,48830
Arizona,1996,4428000,27963,377,1381,,7429,18776,284964,55630,188300,41034
Arizona,1997,4555000,28411,375,1492,,7547,18997,299323,60077,195045,44201
Arizona,1998,4669000,26984,376,1451,,7715,17442,280001,56473,183137,40391
Arizona,1999,4778332,26334,384,1383,,7288,17279,255401,49423,167731,38247
Arizona,2000,5130632,27281,359,1577,,7504,17841,271811,51902,176705,43204
Arizona,2001,5306966,28675,400,1518,,8868,17889,293874,54821,186850,52203
Arizona,2002,5441125,30171,387,1608,,8000,20176,318296,59087,201541,57668
Arizona,2003,5579222,28638,441,1856,,7619,18722,314335,58613,198725,56997
Arizona,2004,5739879,28952,414,1896,,7721,18921,291203,56885,179012,55306
