Publisher,Name,Gender,Appearances,Year,Month
Marvel,Spider-Man (Peter Parker),Male,4043.0,1962.0,8
Marvel,Captain America (Steven Rogers),Male,3360.0,1941.0,3
Marvel,"Wolverine (James ""Logan"" Howlett)",Male,3061.0,1974.0,10
Marvel,"Iron Man (Anthony ""Tony"" Stark)",Male,2961.0,1963.0,3
Marvel,Thor (Thor Odinson),Male,2258.0,1950.0,11
Marvel,Benjamin Grimm (Earth-616),Male,2255.0,1961.0,11
Marvel,Reed Richards (Earth-616),Male,2072.0,1961.0,11
Marvel,Hulk (Robert Bruce Banner),Male,2017.0,1962.0,5
Marvel,Scott Summers (Earth-616),Male,1955.0,1963.0,9
Marvel,Jonathan Storm (Earth-616),Male,1934.0,1961.0,11
Marvel,Henry McCoy (Earth-616),Male,1825.0,1963.0,9
Marvel,Susan Storm (Earth-616),Female,1713.0,1961.0,11
Marvel,Ororo Munroe (Earth-616),Female,1512.0,1975.0,5
Marvel,Clinton Barton (Earth-616),Male,1394.0,1964.0,9
Marvel,Matthew Murdock (Earth-616),Male,1338.0,1964.0,4
Marvel,Stephen Strange (Earth-616),Male,1307.0,1963.0,7
Marvel,Mary Jane Watson (Earth-616),Female,1304.0,1965.0,6
Marvel,John Jonah Jameson (Earth-616),Male,1266.0,1963.0,3
Marvel,Robert Drake (Earth-616),Male,1265.0,1963.0,9
Marvel,Henry Pym (Earth-616),Male,1237.0,1962.0,1
Marvel,Charles Xavier (Earth-616),Male,1233.0,1963.0,9
Marvel,Warren Worthington III (Earth-616),Male,1230.0,1963.0,9
Marvel,Piotr Rasputin (Earth-616),Male,1162.0,1975.0,5
Marvel,Wanda Maximoff (Earth-616),Female,1161.0,1964.0,3
Marvel,Nicholas Fury (Earth-616),Male,1137.0,1963.0,5
Marvel,Janet van Dyne (Earth-616),Female,1120.0,1963.0,6
Marvel,Jean Grey (Earth-616),Female,1107.0,1963.0,9
Marvel,Natalia Romanova (Earth-616),Female,1050.0,1964.0,4
Marvel,Kurt Wagner (Earth-616),Male,1047.0,1975.0,5
Marvel,Vision (Earth-616),Male,1007.0,1968.0,10
