California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
Fresno ,6019001100.0,65.3,4.2,24.6,0.5,3.5,1.8,17.6,76.3,94.09,0.065,2.75,18551.95719,131.64,14.13,7.44
San Bernardino,6071001600.0,91.1,5.8,0.7,0.3,1.4,0.7,12.3,72.5,90.68,0.062,1.37,7494.236621999998,60.66,12.94,7.04
Fresno ,6019000200.0,63.6,5.3,18.9,0.6,9.8,1.8,16.1,86.8,85.97,0.062,3.03,12454.948409999999,142.12,14.96,10.16
San Joaquin,6077000801.0,57.4,6.0,12.5,0.3,20.9,2.8,19.6,61.3,82.49,0.046,12.93,2387.782922,142.17,14.72,6.23
Fresno ,6019001500.0,71.8,21.4,1.2,0.5,4.5,0.6,18.6,66.4,82.03,0.065,3518.41,21790.70672,90.48,12.82,4.5
Los Angeles,6037204920.0,98.1,1.2,0.1,0.1,0.2,0.3,11.6,66.4,80.73,0.046,0.0,39040.17995,68.74,10.4,7.35
San Joaquin,6077000300.0,51.8,16.4,16.4,1.3,9.9,4.1,14.4,76.2,80.18,0.046,172.49,707.5361575000003,169.56,12.7,8.36
Fresno ,6019001000.0,52.7,2.7,28.7,0.4,14.3,1.2,20.0,74.5,80.13,0.065,1435.93,6996.9624090000025,142.28,14.96,7.83
Los Angeles,6037206050.0,79.3,8.9,4.1,0.1,7.2,0.5,28.5,75.7,79.03,0.046,0.0,10378.23648,58.03,7.24,6.71
Fresno ,6019000400.0,78.0,9.1,5.8,0.8,5.3,0.9,23.5,83.4,78.53,0.065,114.96,125383.89199999999,107.8,14.75,4.79
Stanislaus ,6099002100.0,66.5,25.6,2.4,0.9,2.2,2.5,19.3,78.3,78.52,0.053,14.38,1033.797912,94.54,13.59,5.37
Kern ,6029002500.0,76.7,5.1,15.9,0.7,0.4,1.2,28.5,73.8,78.41,0.065,3.47,49.70815719,89.83,11.77,6.28
Fresno ,6019000600.0,70.8,15.2,6.8,0.7,4.4,2.2,21.7,89.5,78.41,0.065,88.58,7030.451231,118.86,10.12,7.87
Fresno ,6019001201.0,83.1,5.1,3.7,0.7,6.6,0.8,20.1,70.7,78.05,0.065,0.0,19782.60168,89.51,12.74,5.28
Los Angeles,6037205120.0,96.5,0.8,1.0,0.1,1.1,0.4,16.9,78.3,78.04,0.046,0.0,19178.66447,68.74,10.4,5.14
Fresno ,6019000902.0,57.9,1.5,21.3,0.3,17.7,1.3,21.8,77.5,77.65,0.065,683.81,25476.58305,142.28,14.96,9.24
Los Angeles,6037291220.0,65.1,4.5,11.5,0.1,17.0,1.7,8.9,53.4,77.5,0.044000000000000004,68.63,8937.64998,66.49,8.87,6.54
Fresno ,6019001202.0,72.5,2.5,11.7,0.4,12.3,0.6,21.6,77.8,77.41,0.065,11.74,8837.26905,78.61,11.16,4.94
Fresno ,6019000800.0,66.9,4.0,6.2,0.6,20.9,1.3,18.5,76.5,77.4,0.062,1031.87,7265.254475,142.28,14.96,8.9
Fresno ,6019000300.0,62.8,3.4,25.7,0.9,5.8,1.4,11.5,78.7,76.71,0.065,26.78,35783.102510000004,142.28,14.96,8.12
Los Angeles,6037239202.0,82.6,0.7,16.1,0.0,0.0,0.6,13.6,76.3,76.04,0.046,0.0,4808.807974,91.39,12.62,7.0
Los Angeles,6037226002.0,49.8,22.7,18.3,0.4,6.7,2.2,11.1,65.3,76.04,0.046,0.0,6139.175596,149.88,8.24,5.71
San Joaquin,6077000700.0,74.4,4.0,4.8,0.3,14.3,2.2,16.5,79.5,76.02,0.046,73.13,810.2517341,123.86,13.58,4.25
Fresno ,6019000901.0,54.4,3.6,21.9,0.1,18.5,1.5,26.2,80.8,75.86,0.065,699.89,13674.44729,142.28,14.96,9.09
San Joaquin,6077000100.0,51.9,17.0,15.2,1.0,11.9,3.1,30.8,86.0,75.54,0.046,18.64,629.2738636,176.3,10.87,6.53
Stanislaus ,6099002302.0,76.1,18.4,1.5,0.6,2.3,1.1,24.1,73.5,75.19,0.053,19.78,658.156468,95.77,15.79,5.42
San Bernardino,6071004900.0,86.6,6.6,4.6,0.3,0.8,1.0,20.0,74.0,74.95,0.065,0.0,1111.567743,121.39,15.23,5.97
Los Angeles,6037535400.0,86.4,1.1,11.9,0.0,0.1,0.5,17.9,75.4,74.46,0.044000000000000004,0.0,5904.681637,88.42,12.7,5.27
Fresno ,6019000700.0,61.7,4.2,29.0,0.5,2.8,1.8,11.5,65.6,74.16,0.062,20.94,7246.016392,142.18,14.94,9.84
Fresno ,6019007100.0,87.8,7.3,1.1,0.4,2.6,0.8,15.3,71.2,73.78,0.065,388.51,735.6523341,101.34,11.65,5.92
Los Angeles,6037243100.0,64.7,1.8,31.8,0.2,0.4,1.0,15.0,76.0,73.54,0.044000000000000004,0.0,5852.275263,105.29,11.72,9.99
Los Angeles,6037543305.0,27.2,26.9,37.3,0.6,5.2,2.9,12.1,34.1,73.54,0.042,36.2,6896.098953,106.87,12.47,10.0
San Bernardino,6071005701.0,59.3,19.2,11.9,1.0,6.7,1.9,17.4,89.3,73.28,0.065,0.0,707.1247544,131.79,18.3,8.97
Los Angeles,6037204600.0,96.3,1.8,0.4,0.2,1.1,0.2,14.9,71.0,73.13,0.046,0.0,10365.370859999999,73.07,9.25,5.81
Los Angeles,6037227010.0,92.1,0.6,7.1,0.1,0.0,0.2,11.8,72.2,72.68,0.046,0.0,6136.500335,64.02,9.65,6.04
Stanislaus ,6099002301.0,74.4,15.6,2.4,0.7,5.0,2.0,23.4,65.6,72.39,0.053,840.89,593.6111980000002,79.42,12.24,5.5
San Joaquin,6077001900.0,74.1,7.7,10.9,0.5,4.5,2.4,15.6,75.5,71.89,0.046,17.93,582.0127436,94.01,12.91,5.1
Los Angeles,6037206032.0,80.3,2.0,1.2,0.2,15.5,0.7,8.2,69.2,71.56,0.046,0.0,7806.44435,95.89,10.33,4.17
Los Angeles,6037226001.0,89.1,1.7,6.1,0.2,2.6,0.2,4.1,79.3,71.53,0.046,0.0,5941.164907,87.25,9.3,6.16
Los Angeles,6037239501.0,74.8,0.7,24.0,0.0,0.1,0.3,17.6,72.2,71.36,0.046,0.0,5153.308202,72.52,10.79,7.41
Fresno ,6019002000.0,58.3,22.5,8.1,0.9,7.9,2.4,21.6,80.7,71.34,0.062,0.02,3657.292495,91.21,8.81,8.44
San Joaquin,6077005119.0,29.8,22.5,10.1,0.3,33.1,4.3,11.3,34.7,71.3,0.05,1994.23,1144.795122,65.67,10.67,6.3
Los Angeles,6037203100.0,95.8,1.0,1.1,0.3,1.5,0.3,14.9,76.1,71.05,0.046,0.0,6735.289812000001,76.55,8.65,5.17
Los Angeles,6037530700.0,95.2,2.1,0.8,0.2,1.5,0.2,19.0,54.3,71.03,0.046,0.0,8000.0,54.46,10.53,8.0
San Diego,6073005000.0,90.3,5.4,1.8,0.2,1.4,0.9,17.2,82.8,70.91,0.038,0.0,1176.628601,127.1,9.63,5.4
Los Angeles,6037301601.0,18.9,66.8,1.2,0.1,8.3,4.7,12.2,49.9,70.91,0.053,0.0,1882.547416,32.65,9.9,6.33
Los Angeles,6037185320.0,90.0,3.7,0.6,0.2,5.0,0.6,13.3,65.6,70.89,0.046,0.0,3996.547625,69.42,7.73,7.05
Los Angeles,6037543202.0,73.6,0.9,23.5,0.0,1.1,0.8,14.8,62.9,70.82,0.042,0.0,6626.914092,110.81,12.82,5.2
Riverside ,6065030502.0,87.2,7.6,3.7,0.3,0.5,0.7,17.3,64.8,70.63,0.065,0.0,940.1426992,61.55,9.04,6.69
San Bernardino,6071012500.0,87.7,6.7,3.3,0.4,0.8,1.1,7.3,70.0,70.61,0.065,0.0,800.1737046000003,95.84,16.38,7.47
Los Angeles,6037531302.0,98.1,1.1,0.2,0.1,0.1,0.4,14.4,65.6,70.59,0.046,0.0,58357.830129999995,55.5,8.58,5.19
Fresno ,6019001301.0,84.9,5.9,2.5,0.6,5.2,0.8,20.3,82.7,70.56,0.065,0.29,5811.241525,119.79,17.15,6.59
Fresno ,6019002502.0,66.6,5.2,3.6,0.5,22.4,1.8,23.1,87.5,70.56,0.065,0.0,2492.474237,115.44,16.4,7.2
Los Angeles,6037402801.0,92.5,2.9,1.8,0.1,2.0,0.6,11.6,71.8,70.39,0.057,0.0,7176.500215000001,66.33,9.77,6.36
Fresno ,6019001304.0,60.2,3.5,9.0,0.8,25.2,1.4,22.1,81.4,70.21,0.065,0.2,8703.269449,116.56,16.69,6.17
San Joaquin,6077002201.0,67.1,2.9,24.5,0.3,2.8,2.4,15.0,68.3,70.16,0.046,27.13,763.4048111000003,128.15,14.74,9.28
Los Angeles,6037532304.0,87.8,5.9,3.6,0.7,1.3,0.6,12.6,47.7,69.97,0.046,0.0,12105.33825,56.67,10.24,5.29
Fresno ,6019001303.0,64.4,3.9,4.3,1.2,25.7,0.6,13.0,92.1,69.96,0.065,0.0,15053.034769999998,98.82,14.14,7.93
Kern ,6029002200.0,75.8,3.3,19.2,0.3,0.3,1.0,35.4,80.6,69.89,0.065,0.0,38.46174593,89.83,11.77,8.2
Los Angeles,6037205110.0,98.5,1.1,0.1,0.1,0.1,0.2,5.5,78.8,69.85,0.046,0.0,14659.830469999999,68.74,10.4,5.45
Los Angeles,6037570502.0,54.8,11.0,13.9,0.3,17.7,2.3,15.8,45.2,69.77,0.042,7.0,6181.981699,87.58,10.71,7.45
Los Angeles,6037291210.0,62.6,5.6,13.5,0.1,16.5,1.6,9.1,53.0,69.62,0.044000000000000004,26.86,7007.6189,70.23,9.31,6.18
Los Angeles,6037219901.0,79.8,2.2,16.0,0.1,0.6,1.2,12.6,74.8,69.47,0.046,0.07,2007.831902,100.42,9.96,6.1
Los Angeles,6037534202.0,95.6,3.0,0.7,0.1,0.3,0.2,17.1,75.4,69.37,0.046,38.62,8608.657111,48.15,10.08,6.44
Los Angeles,6037540400.0,80.8,0.9,16.4,0.3,0.9,0.8,18.3,80.2,69.24,0.044000000000000004,0.0,5968.050135,90.58,10.34,4.68
Riverside ,6065046700.0,55.6,24.0,14.6,0.2,3.2,2.4,21.3,67.8,69.15,0.065,0.03,604.8258591,66.89,10.66,6.75
Kern ,6029002301.0,85.0,9.4,3.4,0.5,0.9,0.9,21.8,76.3,69.08,0.065,1.42,22.92078576,86.67,11.35,6.29
San Bernardino,6071002501.0,88.5,7.6,1.8,0.1,1.4,0.7,10.4,50.0,68.99,0.065,22.12,5424.081436,69.46,12.25,6.02
Fresno ,6019008502.0,97.5,1.5,0.1,0.1,0.5,0.2,18.7,74.7,68.98,0.065,3880.18,1549.949899,102.83,13.81,5.83
Fresno ,6019000502.0,71.5,13.9,5.9,0.5,6.9,1.3,13.4,80.7,68.97,0.065,5.16,3938.730359,124.96,11.31,8.32
Los Angeles,6037242100.0,66.6,0.4,31.4,0.1,0.4,1.0,16.9,87.2,68.88,0.044000000000000004,0.0,5842.945149,88.42,12.7,5.87
Los Angeles,6037203500.0,85.1,2.4,0.8,0.2,10.7,0.9,11.2,56.5,68.82,0.046,0.0,6863.580217000002,95.93,10.33,4.36
Los Angeles,6037302401.0,37.3,41.2,1.9,0.1,17.0,2.5,11.0,49.4,68.65,0.051,0.0,2433.697267,67.93,9.85,5.78
Los Angeles,6037204820.0,97.9,0.8,0.0,0.3,0.9,0.1,6.1,50.7,68.47,0.046,0.0,20285.50989,68.74,10.4,5.71
