County,State,Combined_Key,3/1/2020,4/1/2020,5/1/2020,6/1/2020
nan,American Samoa,"American Samoa, US",0,0,0,0
nan,Guam,"Guam, US",0,77,145,175
nan,Northern Mariana Islands,"Northern Mariana Islands, US",0,6,14,22
nan,Puerto Rico,"Puerto Rico, US",0,286,1575,3873
nan,Virgin Islands,"Virgin Islands, US",0,30,66,70
Autauga,Alabama,"Autauga, Alabama, US",0,8,42,233
Baldwin,Alabama,"Baldwin, Alabama, US",0,20,175,292
Barbour,Alabama,"Barbour, Alabama, US",0,0,42,172
Bibb,Alabama,"Bibb, Alabama, US",0,3,42,76
Blount,Alabama,"Blount, Alabama, US",0,5,39,63
Bullock,Alabama,"Bullock, Alabama, US",0,3,14,209
Butler,Alabama,"Butler, Alabama, US",0,1,65,414
Calhoun,Alabama,"Calhoun, Alabama, US",0,11,93,164
Chambers,Alabama,"Chambers, Alabama, US",0,42,290,358
Cherokee,Alabama,"Cherokee, Alabama, US",0,2,15,38
Chilton,Alabama,"Chilton, Alabama, US",0,13,52,103
Choctaw,Alabama,"Choctaw, Alabama, US",0,4,49,153
Clarke,Alabama,"Clarke, Alabama, US",0,0,34,146
Clay,Alabama,"Clay, Alabama, US",0,2,21,28
Cleburne,Alabama,"Cleburne, Alabama, US",0,6,12,15
Coffee,Alabama,"Coffee, Alabama, US",0,0,117,238
Colbert,Alabama,"Colbert, Alabama, US",0,4,33,186
Conecuh,Alabama,"Conecuh, Alabama, US",0,0,9,41
Coosa,Alabama,"Coosa, Alabama, US",0,4,29,40
Covington,Alabama,"Covington, Alabama, US",0,3,38,81
Crenshaw,Alabama,"Crenshaw, Alabama, US",0,1,19,75
Cullman,Alabama,"Cullman, Alabama, US",0,9,57,147
Dale,Alabama,"Dale, Alabama, US",0,0,27,122
Dallas,Alabama,"Dallas, Alabama, US",0,2,42,279
DeKalb,Alabama,"DeKalb, Alabama, US",0,5,76,249
Elmore,Alabama,"Elmore, Alabama, US",0,14,88,362
Escambia,Alabama,"Escambia, Alabama, US",0,1,29,72
Etowah,Alabama,"Etowah, Alabama, US",0,10,139,260
Fayette,Alabama,"Fayette, Alabama, US",0,1,6,16
Franklin,Alabama,"Franklin, Alabama, US",0,3,78,562
Geneva,Alabama,"Geneva, Alabama, US",0,0,9,43
Greene,Alabama,"Greene, Alabama, US",0,4,54,95
Hale,Alabama,"Hale, Alabama, US",0,1,50,175
Henry,Alabama,"Henry, Alabama, US",0,0,24,80
Houston,Alabama,"Houston, Alabama, US",0,8,90,221
Jackson,Alabama,"Jackson, Alabama, US",0,8,49,81
Jefferson,Alabama,"Jefferson, Alabama, US",0,292,929,1859
