DATE,rate
1/1/1994,11.0621318
4/1/1994,10.77192681
7/1/1994,10.47395408
10/1/1994,10.23775372
1/1/1995,10.12924418
4/1/1995,10.08505433
7/1/1995,10.09470675
10/1/1995,10.10429865
1/1/1996,10.00289988
4/1/1996,9.948289771
7/1/1996,9.846561953
10/1/1996,9.722217781
1/1/1997,9.706392966
4/1/1997,9.494783477
7/1/1997,9.282797824
10/1/1997,9.185647326
1/1/1998,9.10251786
4/1/1998,8.837752745
7/1/1998,9.043254874
10/1/1998,8.873036856
1/1/1999,8.741158952
4/1/1999,8.858626429
7/1/1999,8.69734467
10/1/1999,8.51900016
1/1/2000,8.383364573
4/1/2000,8.35803268
7/1/2000,8.421603716
10/1/2000,8.399183822
1/1/2001,8.536962158
4/1/2001,8.748529226
7/1/2001,8.964916255
10/1/2001,9.698123335
1/1/2002,9.884354095
4/1/2002,9.854400233
7/1/2002,9.80141715
10/1/2002,9.700520542
1/1/2003,9.87146099
4/1/2003,9.993055474
7/1/2003,10.06601017
10/1/2003,10.02528758
1/1/2004,9.807509163
4/1/2004,9.707540282
7/1/2004,9.660140007
10/1/2004,9.713496679
1/1/2005,9.513784185
4/1/2005,9.411645142
7/1/2005,9.324714965
10/1/2005,9.31158911
1/1/2006,9.175878003
4/1/2006,9.131385323
7/1/2006,9.11731782
10/1/2006,9.044902219
1/1/2007,9.038438607
4/1/2007,9.122563376
7/1/2007,9.108621786
10/1/2007,9.168457245
1/1/2008,9.369477168
4/1/2008,9.553860779
7/1/2008,10.14547204
10/1/2008,10.6605132
1/1/2009,11.91843408
4/1/2009,12.55413321
7/1/2009,12.70880901
10/1/2009,12.87197174
1/1/2010,12.61789539
4/1/2010,12.5560314
7/1/2010,12.35204874
10/1/2010,12.42164764
1/1/2011,12.22870426
4/1/2011,12.22399113
7/1/2011,12.20685955
10/1/2011,12.0956744
1/1/2012,11.7485114
4/1/2012,11.64090462
7/1/2012,11.68979043
10/1/2012,11.50281179
1/1/2013,11.6886761
4/1/2013,11.42145876
7/1/2013,11.25671401
10/1/2013,11.22757866
1/1/2014,10.73856881
4/1/2014,10.61484664
7/1/2014,10.59218988
10/1/2014,10.36748565
1/1/2015,10.24274687
4/1/2015,10.08811825
7/1/2015,9.946257079
10/1/2015,9.787459943
1/1/2016,9.579251007
4/1/2016,9.633431882
7/1/2016,9.529754099
10/1/2016,9.68956476
1/1/2017,9.390883698
4/1/2017,9.085963961
7/1/2017,8.987397917
10/1/2017,8.875081783
1/1/2018,8.80248787
4/1/2018,8.694159484
7/1/2018,8.548106159
10/1/2018,8.584845513
1/1/2019,8.751044847
4/1/2019,8.398821823
7/1/2019,8.384810768
10/1/2019,8.185098122
1/1/2020,8.193349709
4/1/2020,17.5264272
